Descripción,Backend,Data,Date,Frontend,IA Service,Inspiracion,Plataforma,Status,Tipo
Escaner de QR + Acortador de Links,,,,,,https://www.youtube.com/watch?v=AZpjRNTSLqM,,Not started,Personal
Blog - CMS,,,,,,https://www.youtube.com/watch?v=AZpjRNTSLqM,,Not started,Personal
Inventario,,,,,,https://www.youtube.com/watch?v=AZpjRNTSLqM,,Not started,Negocio
Sistema de reservas,,,,,,https://www.youtube.com/watch?v=AZpjRNTSLqM,,Not started,Negocio
CLI Multiproposito,,,,,,https://www.youtube.com/watch?v=WX6xNGjcIWk,,Not started,Personal
Web Crawler,,,,,,https://www.youtube.com/watch?v=WX6xNGjcIWk,,Not started,Personal
Scheduler - Planificador de tarea,Flask,Postgress,,"Astro, Tailwind",Still,https://www.youtube.com/watch?v=WX6xNGjcIWk,"Mobile, Web",Not started,Personal
Crear mi blockchain,,,,,,https://www.youtube.com/watch?v=WX6xNGjcIWk,,Not started,Personal
ChatIA enfocado a 1 tema,,,,,,https://www.youtube.com/watch?v=WX6xNGjcIWk,,Not started,Personal
App de Finanzas Personales,,,,,,https://www.youtube.com/watch?v=f0SUyYNpSt8,,Not started,Personal
Chat en tiempo real,,,,,,https://www.youtube.com/watch?v=f0SUyYNpSt8,,Not started,"Negocio, Personal"
E-commerce,,,,,,https://www.youtube.com/watch?v=f0SUyYNpSt8,,Not started,Personal
Sistemas de alertas,,,,,,,,Not started,Negocio
Servicios de facturación electrónica,,,,,,https://www.youtube.com/watch?v=UZ-fh2JXaIs,,Not started,Negocio
Sistema de Historial Medico,ASP .NET,Postgress,,Blazor,N/A,Nayeli Hernandez,Web,Planing,Negocio
Sistema PLAFT,ASP .NET,Postgress,,Undecided,N/A,Una prepuesta de Alexander Ramirez,Escritorio,MVP,Negocio
Reunion con Alexander Para Mostrar MVP,,,"June 22, 2026",,,,,Not started,Negocio
