Descripción,Inspiracion,Tipo,Frontend,Backend,Data,IA Service,Plataforma,Status,Date
Sistema PLAFT,Una prepuesta de Alexander Ramirez,Negocio,Undecided,ASP .NET,Postgress,N/A,Escritorio,MVP,
Sistema de Historial Medico,Nayeli Hernandez,Negocio,Blazor,ASP .NET,Postgress,N/A,Web,Planing,
Servicios de facturación electrónica,https://www.youtube.com/watch?v=UZ-fh2JXaIs,Negocio,,,,,,Not started,
Sistemas de alertas,,Negocio,,,,,,Not started,
E-commerce,https://www.youtube.com/watch?v=f0SUyYNpSt8,Personal,,,,,,Not started,
Chat en tiempo real,https://www.youtube.com/watch?v=f0SUyYNpSt8,"Negocio, Personal",,,,,,Not started,
App de Finanzas Personales,https://www.youtube.com/watch?v=f0SUyYNpSt8,Personal,,,,,,Not started,
ChatIA enfocado a 1 tema,https://www.youtube.com/watch?v=WX6xNGjcIWk,Personal,,,,,,Not started,
Crear mi blockchain,https://www.youtube.com/watch?v=WX6xNGjcIWk,Personal,,,,,,Not started,
Scheduler - Planificador de tarea,https://www.youtube.com/watch?v=WX6xNGjcIWk,Personal,"Astro, Tailwind",Flask,Postgress,Still,"Mobile, Web",Not started,
Web Crawler,https://www.youtube.com/watch?v=WX6xNGjcIWk,Personal,,,,,,Not started,
CLI Multiproposito,https://www.youtube.com/watch?v=WX6xNGjcIWk,Personal,,,,,,Not started,
Sistema de reservas,https://www.youtube.com/watch?v=AZpjRNTSLqM,Negocio,,,,,,Not started,
Escaner de QR + Acortador de Links,https://www.youtube.com/watch?v=AZpjRNTSLqM,Personal,,,,,,Not started,
Blog - CMS,https://www.youtube.com/watch?v=AZpjRNTSLqM,Personal,,,,,,Not started,
Inventario,https://www.youtube.com/watch?v=AZpjRNTSLqM,Negocio,,,,,,Not started,
Reunion con Alexander Para Mostrar MVP,,Negocio,,,,,,Not started,"June 22, 2026"
